"dates","globrad","tmax","tmin","vappres","windspeed","prec","mesfl","densef","height","lai","sai","age"
2016-01-01,4.08,5.5,-1.1,0.53,1.22,3.2,0,1,23,1.752,1,200
2016-01-02,1.61,3.36,-2.08,0.49,0.89,0.2,0,1,23,1.752,1,200.002739726027
2016-01-03,1.77,-0.53,-3.64,0.46,0.61,0,0,1,23,1.752,1,200.005479452055
2016-01-04,1.14,-0.86,-2.76,0.48,1.73,0,0,1,23,1.752,1,200.008219178082
2016-01-05,7.01,2.04,-2.95,0.44,1.79,2.6,0,1,23,1.752,1,200.01095890411
2016-01-06,4.56,0.93,-3.51,0.4,1.34,0.2,0,1,23,1.752,1,200.013698630137
2016-01-07,0.7,1.62,-3.19,0.46,2.84,10.8,0,1,23,1.752,1,200.016438356164
2016-01-08,1.79,4.48,-1.27,0.55,2.45,7.2,0,1,23,1.752,1,200.019178082192
2016-01-09,1.16,3.95,0.78,0.58,0.87,14,0,1,23,1.752,1,200.021917808219
2016-01-10,0.89,2.64,-0.55,0.53,1.91,5.2,0,1,23,1.752,1,200.024657534247
2016-01-11,1.45,3.49,-3.16,0.52,3.44,6.6,0,1,23,1.752,1,200.027397260274
2016-01-12,1.64,-2.44,-4.49,0.43,3.15,0,0,1,23,1.752,1,200.030136986301
2016-01-13,3.24,-4.25,-7.99,0.32,3.36,0,0,1,23,1.752,1,200.032876712329
2016-01-14,2.45,-2.14,-8.05,0.29,3.08,0,0,1,23,1.752,1,200.035616438356
2016-01-15,6.47,-4.01,-8.73,0.3,2.47,0,0,1,23,1.752,1,200.038356164384
2016-01-16,3.08,-6.1,-9.04,0.29,1.77,0,0,1,23,1.752,1,200.041095890411
2016-01-17,2.45,-8.01,-13.32,0.25,2.86,0,0,1,23,1.752,1,200.043835616438
2016-01-18,6.68,-1.69,-13.63,0.17,2.69,0,0,1,23,1.752,1,200.046575342466
2016-01-19,3.05,-2.25,-5.74,0.37,1.55,0,0,1,23,1.752,1,200.049315068493
2016-01-20,2.96,0.25,-4.29,0.45,0.55,0,0,1,23,1.752,1,200.052054794521
2016-01-21,6.52,2.01,-6.11,0.33,1.5,0,0,1,23,1.752,1,200.054794520548
2016-01-22,8.84,8.03,-2.99,0.17,1.58,0.2,0,1,23,1.752,1,200.057534246575
2016-01-23,7.47,4.45,-0.82,0.48,2.49,4.8,0,1,23,1.752,1,200.060273972603
2016-01-24,4.68,7.79,0.92,0.21,1.5,0,0,1,23,1.752,1,200.06301369863
2016-01-25,9.03,12.67,4.31,0.54,1.12,0,0,1,23,1.752,1,200.065753424658
2016-01-26,8.08,12.73,4.27,0.46,1.25,0,0,1,23,1.752,1,200.068493150685
2016-01-27,6.71,10.92,6.16,0.45,2.15,0,0,1,23,1.752,1,200.071232876712
2016-01-28,5.11,7.64,2.23,0.5,1.48,0,0,1,23,1.752,1,200.07397260274
2016-01-29,7.38,7.01,0.85,0.61,1.37,1.8,0,1,23,1.752,1,200.076712328767
2016-01-30,7.16,7.48,0.2,0.45,3.4,0.2,0,1,23,1.752,1,200.079452054795
2016-01-31,0.45,4.49,0.71,0.64,3.82,16.4,0,1,23,1.752,1,200.082191780822
2016-02-01,9.27,9.61,5.08,0.62,2.77,0,0,1,23,1.752,1,200.084931506849
2016-02-02,8.11,10.39,0.62,0.38,2.07,0,0,1,23,1.752,1,200.087671232877
2016-02-03,1,2.25,-6.31,0.43,3.25,0.2,0,1,23,1.752,1,200.090410958904
2016-02-04,3.14,-1.68,-6.41,0.4,2.88,0,0,1,23,1.752,1,200.093150684932
2016-02-05,9.69,5.8,-1.39,0.56,0.92,11,0,1,23,1.752,1,200.095890410959
2016-02-06,9.43,11.42,3.72,0.34,2.11,4.2,0,1,23,1.752,1,200.098630136986
2016-02-07,2.53,4.99,-2.84,0.44,2.55,0,0,1,23,1.752,1,200.101369863014
2016-02-08,8.25,6.97,-2.8,0.45,4.3,6.6,0,1,23,1.752,1,200.104109589041
2016-02-09,2.93,4.9,-5.51,0.48,4.18,0.6,0,1,23,1.752,1,200.106849315069
2016-02-10,5.13,-3.38,-6.93,0.34,2.77,0,0,1,23,1.752,1,200.109589041096
2016-02-11,10.72,-0.36,-8.88,0.35,0.93,0.6,0,1,23,1.752,1,200.112328767123
2016-02-12,3.8,-1.29,-6.21,0.38,1.73,0,0,1,23,1.752,1,200.115068493151
2016-02-13,6.16,3.25,-2.27,0.51,3.48,2.6,0,1,23,1.752,1,200.117808219178
2016-02-14,5.39,2.64,-2.9,0.51,1.89,1.2,0,1,23,1.752,1,200.120547945205
2016-02-15,2.18,-1.66,-5.46,0.42,0.15,0,0,1,23,1.752,1,200.123287671233
2016-02-16,0.92,-3.03,-6.02,0.39,0.03,0,0,1,23,1.752,1,200.12602739726
2016-02-17,4.32,0.7,-6.45,0.41,0.23,0.4,0,1,23,1.752,1,200.128767123288
2016-02-18,8.45,0.89,-6.36,0.41,0.43,0.2,0,1,23,1.752,1,200.131506849315
2016-02-19,3.27,-3.88,-7.77,0.35,2.53,0,0,1,23,1.752,1,200.134246575342
2016-02-20,2.16,4.21,-7.96,0.43,3.2,14.6,0,1,23,1.752,1,200.13698630137
2016-02-21,14.28,12.73,5.04,0.54,3.74,1.8,0,1,23,1.752,1,200.139726027397
2016-02-22,9.3,10.45,2.05,0.5,2.6,4,0,1,23,1.752,1,200.142465753425
2016-02-23,2.13,1.79,-4.94,0.5,2.56,0.4,0,1,23,1.752,1,200.145205479452
2016-02-24,6.14,0.65,-7.31,0.47,0.9,0.6,0,1,23,1.752,1,200.147945205479
2016-02-25,4.16,0.67,-5.22,0.49,1.66,0.6,0,1,23,1.752,1,200.150684931507
2016-02-26,6.95,-1.84,-6.24,0.38,0.87,0,0,1,23,1.752,1,200.153424657534
